text,sentiment
@TeamCyrus morning  how are you?,surprise
"@howie_d you're gonna take good care of that little baby and he's gonna be a strong boy, that's for sure",love
&quot;Never give up on something you can't go a day without thinking about.&quot; I like that quote.,love
Hoping all my friends who are mothers have a wonderful Mothers's Day. I'm spending mine with my 2 AWESOME SONS!   so happy about that!,love
"Everyone going to the hometown show is excited they get to go on Thames Street. I'M GONNA SEE THE ORIGINAL THAMES RIVER, BITCH. ohhhh.",happiness
"Just put all the original art for my comics into an album.  Its really nice, except it shows how much I liked to cut corners to finish.",love
Who builds a hotel without air-con? Bloody boiling in here...,neutral
@erinjshea You have the best hair ever. Totally jealous. Mine's unfixable if I forget and leave sunglasses stuck in it too long,worry
Looking forward to Sunday b/c the weather should be warm and sunny,happiness
I need a bigger mp3 player... even if it pains me to say it,worry
getting ready to lay out by the pool....,happiness
throat infection coming on strong I think  I can taste blood :S,worry
It's raining and I'm outside without an umbrella.,worry
@NattyKnits I just KNEW you'd get that!,happiness
Didn't sleep good last night. Woke up with another bellyache  what's wrong with meeeeeee.,worry
"@xranarawr haha i told you, it's not important",happiness
http://survivingtheworld.net/Lesson5.html &lt;&lt; I chose the wrong career,neutral
"Euh, got LDAP Schema Error  Why oh Why",worry
My tummy still hurts  another cubs game tom...goood night.,worry
My cat is anorexic,worry
"Dilemma, what to wear: Now: SanFran Foggy and 58 , then Sacramento in cple hrs sun and 86 degr .",neutral
Aww...  Pray for the arroyo family everyone!,worry
"@OysteinLund either way, you always tend to make my #followfriday list, sweetie - you do rock that much",love
@FokusChicagoKid Ah....okay,worry
"Oh yeah, Radio1 is SO playing Earth, Wind and Fire",happiness
"@awaisnaseer always write holy words in capital dude, ALLAH HAFIZ !",empty
"bathing with two little angels, Keyla and Janice.",love
@drumzonly yay. das tut trotzdem weh.,worry
Getting ready for an early night tweeps!   Have a great one every 1,neutral
@hatcherdogg Would love it but have plans,sadness
"Wow, its hot and miserable. People are probably killing themselves right about now...",love
@eishbo0 you can do it,love
"@Danny30011980 @Gavinmusic great pic,have to upload my pix tomo,I've no laptop tonight.",happiness
#bgt What happened Greg.  That was a rubbish follow up.,hate
"this sucks i'm tweetless...and i f'n hate money, why does it have to be an issue",hate
"the next 2 weeks, exam wise, are AWFUL. there are 8 exams and I don't see how I can adequately revise all of them  I care least about...",worry
@mike_taff_jones  Oh and...NEVAR USE KDE IT IS MADE OF FAIL!,worry
@gfalcone601 that little girl on BGT! how sad! i cried  lol xxxxxxxxxxxxxxxxxxx,sadness
(@MeowMeowHotMix) My chick wont shut up  Will only stop chirping if i sit with the bloody thing.,sadness
@grcrssl Helloooo (: Star Wars day is cool  LOOL. Wen do you go to Cnaterbury then ? x,love
@symphnysldr  you have every right to feel like a crazy fanboy! jason mraz and james morrison? the jealousy is tangible,fun
@Beadinpath Hi Heather. I dont know why... but I just saw your messages from April!! Have not been very twitter friendly...,worry
picture to burn - taylor swift!    great song!,happiness
@rosieeejones i agree with the whole Hollie thing,worry
"$ES_F interestign setup,the FED is forced to buy bonds,whic pressures stocks,while the gvnmt spins news to raise stocks,left&amp;right hand",neutral
"I've been really tough, but it still sucks to live 5000 miles away from your family when you crave for Korean homemade meal.",worry
I am having a pretty good time at work talking shit with one on  the gymnastics gils,neutral
bbq party,neutral
My cat has been missing for 2 days. I am freaking out.,sadness
@abiFACE thanks for havin us overrr!,happiness
hey thanks for the follow @freakgoddess ..,fun
"@dpbrown the old blue G4 is too slow to code on nowadays, I have a laptop I've borrowed from work ++ lets me lounge while I browse",neutral
... I will launch (make or break) the alpha phase of my residential real estate rental website. (Commitment of first grade,worry
Just got booked my ticket to athens,neutral
Woo hoo party over here. Its gonna be fun,happiness
chilin with my little brotherrrr  oday was amazing xP,love
"BTW, Happy Star Wars Day... May the Fourth be with you! ROFLMAO...yes, I know I'm a total dork.",neutral
Setting up bookmarks on my new Blackberry Curve. Now anyone from work can get ahold of me at anytime!,relief
wtf?! my tweets aren't posting   super excited about the weekend! &lt;3jfg.,neutral
"lazy day, staying off the foot as much as possible.",neutral
It should be illegal for me to date,hate
Just discovered a painful sunburn on my right sholder  hopefully it just turns into a tan!,worry
"If you guys would be interested in watching me get tattooed tomorrow, let me know!",fun
"@billyboss Couldn't see one, but I'm probably blind  Do you have a link to it?",neutral
Is not going to service tonight due to the fact that i've yet to find a dress for prom tomorrow. Ugh,worry
need some Pizza...can't get out of office,sadness
@r_petty I'm leaving community college with a bang!,worry
looks can be deceiving,neutral
Good night twitter friends - I'm nodding off at the 'puter,empty
"@selenagomez I hope you had fun in Canada  don't worry you'll see then again this summer,",surprise
hoping i didn't fail english. that would just be sad,worry
I've brush my teeth but im eating Chocolates right now ha-ha just sharing,happiness
@ BeardBurk: Their being optimistic,happiness
"1st- TY to those who follow back.  2nd - grrr to those who don't, cuz it messes up being able to follow others u want to when ur at 2000+",happiness
"also, Lipton's Sparkling Green Tea is gross",happiness
OMG My sister got my brother a &quot;Jonas Brother&quot; look-a-like trenchcoat and I'm like JONAS STYLE and they told me to shutup no1 likes them,surprise
@AboutLittleRock Wow. @mhenslee is constantly ranting about his love for Genghis Grill too. Never been there; not here in Colorado.,happiness
is not feelin well... i feel sooooo weak....i hate bein sick in the summer,sadness
Work in a hour,neutral
stopped for coffee at Maryland rest area; so did at least five entire middle schools; just my luck,surprise
"@sarahkate1 sleepover's the shit! I love those guy, I totally forgot they played tonight",love
"my laptop broke, who wants to help a girl out and take me to best buy this weekend. please ill feed u.",worry
@TangeloFlavored and no I didn't burn the eggs.  We had a blast and the food was great all weekend. We had an awesome carne asada too.,relief
"Ima go to sleep long day ahead....And its all Benicks fault ,i so dislike him. &gt;=( Well Good Nite World!",worry
not feelin 2day,sadness
@emmielovegood ive tried and tried in the past to learn cockney but sadly its near impossible to find books and things on it over here.,sadness
"Is getting excited for the weekend.......Or, hang on, i am going to be all alone   never mind, excitement lost",relief
@honey_buns awesome! thank you,surprise
just got home had a major daily tset today. its math and i wish i got 6 or more,worry
@lilyroseallen no one ever wear a tshirt with me on it  you're very lucky,neutral
It's sooo hot 2day!! Put a ton of sunblock on before jogging; still think my face burnt though!,worry
hmmmmï¿½being home isn't *all* great  http://u.nu/8m68,neutral
its my burfday and i'm all alone,sadness
I cant change my profile picture on Facebook,neutral
wishing you all a happy monday and a wonderful start to this week ! Make it a good one,happiness
"Oh and PS. Since it is already 12:30, I should probably say &quot;Happy Mother's Day&quot; to my Mom and all the mothers out there!",love
I can't sleep... And now????,worry
goodnight world.... goodnight eddplant.,empty
@ijoostin Not so good  I think that's my fault though - didn't use buttermilk. Recipe was on back of the flour.,sadness
"re-dyed the hair, early start tomorrow heading down to londons clothes show, great place to be when i feel fat.   bright side = motivation",worry
"@Paigex3 hah yeah, its that bad, not gonna lie. :o Have fun",worry
"@ppchen hehe, yes i did change my name. like it?",neutral
used a spare USB flash drive as virtual RAM for my PC. now its got 5.6 GB of memory,neutral
"@MissxMarisa we had scones this afternoon!! they were great  we're gonna make cupcakes this week, on Wednesday!",happiness
I'm really full and I feel sick,worry
"My life what a beautiful morning, i can think if no better way to ruin it than by being at work",happiness
@thegoodhuman,neutral
@meerasapra seriously.. it used to spend most of the time in my house..,sadness
it says not in stock,neutral
Sitting in the car. My ipod is about to die so Im not gonna have anything to do.,worry
May the forth be with you .....,neutral
"@Samm_xx awww, that sucks",sadness
"@DurbinDigital LOL, yeah I do it cuz it just seems that way sometimes don't it",worry
@caraann aww I miss driving down elmwood,worry
Hawks lost but it was a good time,relief
"@Skittles3640 No prob, skittles we always gonna have yall's backs. The true sweeties dont play.. LOL But yea we just got heated. We sry",hate
done with the packing and everything else ... leaving in 3 hours ...,worry
gunna spend today with my sexy best friend,relief
Is in serious pain.,worry
i NEED MY fRYEND!,worry
My puppys not feeling so good today,worry
"Life is over! Just went to get tickets for all time low, sold out  anyone got spares or wanna sell me theirs?",worry
@EMPSFM I had to work and missed it    Shannon could barely contain herself.  She had an amazingly good time,sadness
reconnecting with amadeus and friends,neutral
"it's amazing, makes my heart sing",love
Joel Mchale just made a Puyallup Fair reference on The Soup! I love this stuff. Snuggled in bed with my best girls,love
Just found out that they are running a lil behind.,surprise
@iseric ill buy you one,happiness
"@ThrivingIvory the next single is &quot;Hey Lady&quot;.ok, where is my million dollars??",enthusiasm
@ibeatcancrtwice thanks...I even washed behind my furry ears  you look marvelous too,fun
@renegadepr cool. looking forward. san francisco was really nice. didn't make it out to napa though  maybe next time.,sadness
"@IncrediBILL actually, web works fine. tweetdeck keeps crashing  i'm in NJ today avoiding nascar",neutral
Getting ready for school. Class starts at 10. Critique at noon. I'll be painting my Vermeer most of the day though,neutral
@mileycyrus http://twitpic.com/5ut6j - Poor Thing,worry
@PeopleBrowsr nice new profile picture! Glad to see some friends in there,happiness
where are the good music and lyrics?! it seems like humans have lost their ability to understand whats good and whats bad.,love
Look at how far away I've gone... locked away in a room trying to work in silence and yet... constant &quot;urgent&quot; emails and IM's persist,neutral
": What a let down! No MRI today, neurosurgeon didn't order it--which means we have to come back to OkC soon &amp; we no nothing new",sadness
I want to wish HAPPY MOTHER'S DAY to my two favorite moms in the world: My own mom of course  and my sister!!! HAPPY MOM'S DAY TO YOU TWO!,happiness
"@acinerba Oh man, that sux... price u pay for being on the org chart (and responsible, and stuff...)",worry
"@wowshaggy ooft what pub? I'm off 2moro, but I have a backlog of what people call work to finish. Doubt I'll do it",surprise
@JonnyRadtke i'll miss you when i go to future kill hannah shows,worry
@thatboyBryant dont cry for me! i will see u tomorrow.  muah.,fun
@NEENZ Bye!! Great meeting you!,enthusiasm
@freosan My dad had to bury ours six weeks ago. She became his after I left for college fourteen years ago. Long time to have a kitty.,worry
hope your weekend was fabulous  do anything interesting?,love
@dannyvan i could have got you some from work and not paid more than R20 per 2l,hate
@eedawson It's not gonna storm!  because I said so!,enthusiasm
ConGrats to all Graduates! Such a Beautiful thing &amp; Big Deal! I wish i cudve attended my lil man Ryan Kdg Graduation..  Feel verY Sad!,worry
@djmicdamn hey yu lil fucker i textd yu,empty
@iamdiddy I NEED A HUG! IM MOVING HOUSE ALL BY MYSELF AND IM MAJORLY STRESSED,worry
@meryreino Really? Awesome..Im mad cuz my followers r goin down  *Take A Breath*,surprise
Got some new clothes  and series one of supernatural on dvd,neutral
"@shanajaca But @feltbeats is on page 6 at Ms Twitterworld, only 26 votes",neutral
My saying now  http://bctiny.com/po4me,worry
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,happiness
@jaspercullen I would think you'd want to follow me.,surprise
@nzclothnappy we can all but hope... georgia is still wide awake and has the hiccups,enthusiasm
Chicken beer and good company makes a good night...,love
"@adecembertruth hey adt, guess what. my princelple's number plate is adtï¿½000 well its not 000, i just dunno the numbers.",fun
@azboricua No. Its a bug  in coding. Go into the forum then do reg. Let me know if that work!,neutral
Thinking about someone. Now a days I think more and code less  What is it...?,worry
@irgxana next time? I might not get there this time if the bus has anything to do with it,worry
@notlikemedicine Nice! That sounds great! Let me know when and where.,enthusiasm
@ScottRhodie so you liked it. Glad to hear,happiness
coffee. gym. studio.  story. of. my. life. these. days.     so grateful.,happiness
"Guys, follow @ginoboi for the RX Twitterwar!!!! DD GO GINOOOO!!!",happiness
i wish i had more chicken wings,worry
is so tired ive walked 6.05 kilometres today,sadness
Sad. I don't know what to do with my life. Everything I have done since the age of 16 has been towards healthcare and nursing,worry
@mrsrance congrats ya ran,neutral
Did not win Kelly Clarkson Tickets. Sorry Cecilia. Really wish I could give that to you! You so much deserve it.,worry
"slightly burnt challah  The proof is in the eatin', though...",worry
@understandblue DANG...when did they plant those thorny bushes there? OUCH...no kitty hugs today,empty
@sandy195850 That's me set up for an exciting Sunday lol,worry
i cant afford it  go to school here ? !!,worry
"@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today",surprise
I just spent 2 hours playing TF2 and I don't think I'm any better at it than when I started.,fun
@qtjene Thanks,neutral
I think my modem failed-having pc withdrawals..,worry
Eating pancakes  What is better than a day off with Stevie-J?,neutral
@scarlethyacinth I'm working on a painting due for school and hating myself for sleeping all damn day and starting this so late.,hate
@allyycase I'm trying to sleep!!! It's not working,empty
today is a busy day. exhausting!,neutral
"Last day working for the Uni today, sad times",sadness
having a lazy day after a very alcoholic wk end!!,neutral
He's off!,neutral
The Veronicas are gonna rock the stage tomorrow  HAPPY MOTHER'S DAY EVERYONE!,worry
"@TerrenceJ106 I'm up wit cha!! Just got home from da reggae club, wishin I was sexin somebody!!!",happiness
@wossy http://twitpic.com/4jjdx - Soak your had in hot water (but not boiling) for about 30mins - it'll pull them right out,fun
: So wonderful to spend Mother's Day with my mum.,love
@bryybryyy is a lumberjack  http://twitpic.com/4wqe8,happiness
"@Dollburrell Ooh, cutting. I like you",love
@ronenk I'm not in it for the money. I'm in it for the good times.,neutral
@blkademic what's the matter?,worry
Hi Everyone miss me much?  muahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh ;),sadness
awe.. gotta go.. my mom commands me to sleep already..,sadness
There are ants on my lollipop,neutral
www.loveisthecure.net is up! Check it out,neutral
I saw the sun..... but then I blink and it was gone,worry
"still up, JUST GOT HOME.  ready to go to sleep..",worry
Western Digital Caviar Black 1TB SATA 300 NCQ 32MB on the way...,neutral
ready with learnin today!!! .. and now its twilight time,relief
@xXJess017Xx thats great babe!! congrats!!,surprise
"@WOMENONTOP nope, there's me too.",neutral
@metafisix i thought you were gonna be at the show,neutral
"@darrala sorry again, I don't have a twitter ap on my phone, so I only text to it, I can only reply on the internet for now.",neutral
@millportonian Don't worry. You'll be 38 soon,relief
Going to bed...going back to Korea tomorrow,surprise
@looloojoju aww  im ok been stuck on a coach coming back from nans today and its been lovely sunshine too  xx,love
2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,sadness
Doin' the Crocodile Rock,neutral
shut up.,worry
Our currency is dropping like nobodies business; not a good time to be going overseas  http://is.gd/JsgL,worry
work all day,relief
"@ElvisHsiao Twitter doesn't have photo support built in, but I welcome you to try my website http://woo.sh to share the photos",empty
"@cowpunkmom Sweet deal! I so want to see that movie! Methinks we may have to do a Star Trek movie night some time, hmm?",happiness
"@yummy411 @Cocoabebe I know, right? I guess the oldest doesn't hold rank on field trips anymore.",worry
Just had a horrible experience with a dentist.  Had a crown made that doesn't fit right and they won't fix it or give back the money.,worry
writing my english original writing storyyyyy. and listening to 'a little respect' by erasure  aaaaaah.,worry
Pug just woke me from an incredible sleep!,love
"Thinking about Con Law, fighting a headache, &amp; Paying bills...",worry
@knobzie their loss,neutral
Sooo.....I'm kind of sick n tired of the bs that guys dish out  !!!!!!!!,sadness
"Still no reply from @lorenb about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",worry
"Upshot: If they want to hunt you down... uhh... well, I wish y'all the best of luck, tweeps!",neutral
@jonpaulkaiser love the stuff he sell... you should help this guy with his logo and shop  it's kinda Wordart,neutral
i used to have an ozzy osbourne pillow with his face on it. my mom threw it out. i miss that thing.,worry
"so ready for dc tomorrow, photo trippin'",fun
@lynnnein Bad rum experience in college - still haven't recovered,hate
to all mothers out there... or even soon to be mothers &gt;8D happy mother's day y'all,neutral
"@timwhitlock err you can turn on optimized js+css &amp; caching once we deploy the thing, but I hear what you're saying",empty
Think Big! &quot;The size of your thinking determines the size of your results&quot; Bob Proctor's great advice      http://www.wealthwithsoul.com,relief
@Dina_Vinson no need to worry. I'll be by your side,worry
Enjoy your hols  xxx,happiness
"@leilaanasazi: I'm sure lots of that studio equipment was collected analog stuff that can't be bought anymore.    seriously, condolences.",worry
"@runaholickassy i spent the whole day shopping with Aiza.  i don't really like shopping.  still, i had fun but my feet didn't.",worry
Moving is hard work! This is my last night in the house I grew up in.,worry
who goes bowling anymore?... me and my friends,enthusiasm
"@capemaybooks woofers, I knew it was you",neutral
"@anniething1 *reads phone book* Hugh Clancy, Hugh Claments...Nope, no Hugh Clap.  Poor Holly, though she'll grab pity votes like a shark.",hate
Good Morning Everyone. !.!. Time for work,happiness
@NMaize Lucky Rob... always gettin' the T8's from Emalon,happiness
Morning. Off to school... Ickkk!,neutral
@AndrewGreer  I did that once,neutral
Okay I'm seriously bored. I have nothing to do. I can't go out cause it's raining.,hate
its friday &amp; every1 has plans but me..my mom is laser tagging w/ friends(haha)My brother is out..my sister and dad r working me-bf=alone,sadness
@caatheedee maybe you should greet her for good.,enthusiasm
@tubbyloo same with drunk guests.. Our jobs are pretty similar sometimes,worry
Got the keys to my new flat - gorgeous weather for weekend - and i'm spending it &quot;PACKING&quot;,hate
@fraseredwards seems like a win win situation,love
@brainstuck i didnt get the joke,sadness
@grekwood laze about ! It's. The bank holiday law,surprise
@Rosellyanna lol i know  and haha..did you fall asleep?? or just get bored of shaun :p joke,worry
@fanifang i did and i feel great....   but i still miss it...,worry
@rohant yeah that will keep my mid section down,worry
I alreay feel the hang over. Soooo worth it,worry
@Emma300 Guess I'd better look out for a new best friend once those VIP tickets have been used! You won't want me anymore!,worry
"@youngandfoodish thank you  saw your comment on the chew aerobics, really tickled me",happiness
@kerrisnead FOR REAL!  Isn't it exciting!!!!,neutral
Well hopefully the rest of the day gets better.,worry
@cowmage  read something happy?,neutral
"@N0S4A2 wowie wooie someone updated their twitter without me having to remind you. I'm not even mad,I'm impressed.  how was the lasagna ?",enthusiasm
@RubyRedsocks yup then we are a day older,sadness
@mileycyrus Workin ur crazy sched. has to be tiring..its gotta  be hard being famous  but jus kno u have Bazillionz of fans supprtin u,sadness
my head is hurting..,sadness
@michaelsheen OMG that's really good i want to see the photos! have a nice day,worry
@SelfEdge what causes the frustration buddy?,worry
@Bill_Nye why so quiet lately?,worry
Apparently excessive heat is just as bad for a cold as excessive cold. My body is all blerg. My sofa is not comfy enough for my gaming,worry
on jacksonville beach walking in the cold Ass water   but have to work in the morning   ily &lt;('-')&gt;,hate
@zykloid Thanks!,happiness
I ran out of white and yellow oil paint   I may have to add &quot;Utrecht run&quot; to my list.,worry
wonders when all of these end... hay...  http://plurk.com/p/wy9wi,neutral
@GothicVampireQ yessssss wore myself out this weekend planting my garden and working,love
"Wow what a sunny day,  just recovering some erased files",happiness
moved the first load of stuff into @cjloe's garage for storage.. now for round two..   me and guys move into our new place on Monday!,relief
For FF plz follow @sbx_IronChef -I am following the Starbucks tag on http://wefollow.com &amp; my friend IronChef has dropped from #2 to #3!,neutral
"Have I ever told you I absolutly hate writing emails, status pdates are fine but emails have so much...finality...to them",sadness
so  im really borde and i dont know what i should do.,worry
"@NinjaFanpire Anytime! I'm off ~ I can't match your stamina... my nice, warm, comfy bed is calling (screaming) my name...lol Night Ninja!",happiness
@DavidSadof I'm not sure about this tweet business  Why are the simple things so difficult?,worry
is hungryyyyyyy!! going to eat traditional indian food...the pakistani way. woowoo!  hahaha! &gt;[_()\/3,worry
oh! i think i didnt do well on my photo editing for Db!  sorry :|,worry
Im sad right now becuz of my lady,sadness
My Life Would Suck Without You - Kelly Clarkson,sadness
gawd the rain is too strong,worry
@lorib709 sorry you aren't feeling well!,worry
watching beauty &amp; the beast  haha,happiness
@LiveCrunch haha  Thanks!,happiness
Going to learn the hoedown throwdown today.,neutral
Never got 2 beach bloody weather cloudy n cold i so need 2 move somewhere hot,neutral
can't believe I'm leaving this place tomorrow.,sadness
@CandiCunningham oh dear.. u serious? so how does one prevent bites??  I'm so itchy its distracting while editing.. *sigh*,neutral
"@joeymcintyre Just wondering if you are going to put &quot;One Too Many&quot; on itunes.  I hope you do, it is the only cd of yours I don't have.",neutral
"@SHARKSHOCKY Hi, California is cool! Here in Budapest/Hungary it's too cold and cloudy today  but usually it's hot in the summer)",neutral
@SiCoUK he won't reply,worry
cant wait to get home. i hate my job,love
Millenia mom.... I think I am in that category,neutral
Up early for class. ((Blahh))-------&gt; Hang Over kiddies,worry
@dahveed76 Um your latest tweet sounds like something bad has gone down.,surprise
pulling articles,neutral
@steviekaye thats what andy said a few hours ago....I HOPE THEY ACTUALLY ARE,worry
@JYmuzik Wish I was in ATL!!,love
welcome to the family new pillow  im going to lay my head on you tonight!!!,happiness
I'm Still Celebrating My Bday Even Though It Was Friday,happiness
"@unclelarko not sure I like this way to learn a new language  I prefer to be &quot;on location&quot;, so I can practice, ask Qs and get answers",neutral
"Passed 700,000 views of my YouTube videos",worry
Got approximately 3 hours of sleep last night....I love my life,love
Lots of money  some DVDs and this cute thing!!! http://twitpic.com/4jble,worry
I'll miss the 39th floor view...,sadness
"ah! A clean house...finally, so nice",relief
"@descendtorise i cant go on fb. i found out im an alien one morning, and aliens aren't allowed on fb  but YAYY CONGRATSES!! i miss yew tew",love
A- on my french paper.,neutral
Having internet access on board means I can see what bad weather we are flying into   http://bit.ly/h14Tw,happiness
ough out of the shower and my toes feel horrible in my socks i think they are still a bit wet,worry
Had a great day...but slightly depressed.  I don't know what I am going to do.,worry
haul video coming up!,neutral
@FloFischer check this out: http://tinyurl.com/d44lra,neutral
bad hair day,sadness
@Kat_KittyKat  so now im bored..untill i go out,sadness
@drsteggy The evidently didn't have any of the smaller ones   I will keep looking.  I got a keen thing though for $7 that should do...,worry
ughhh rejected from the 09 mediation program. SUCKSSSS.,worry
"@catcloud Yes, Cathy.  (Ordinarily, I don't have much of a problem with naked girls chasing me, however!  )",worry
@Late2thePartee feeling any better hon?,worry
Time to snuggle up in bed with the electric blankie on,happiness
I need some plugs. for real. my ears want to stretch. and I have no money,worry
@KerronClement Have a good flight!,neutral
"is watching big brothes big quiz    ,       rather tiredd    , but downloading a dvd so have to wait till finished till i can go to bed",neutral
@jaystokes4 lol oh ok..well n that case..thank u,surprise
got a case of the bubblies.,neutral
@ishakey yea so wassup,neutral
I want a new mountain bike,neutral
@chelseytx I don't have the app that does it,worry
in desperate need of some tweets to cheer me up,sadness
@japanimated I miss you too,sadness
listening to some music!,happiness
I hate it when I forget to actually turn on the dryer,neutral
"@ddlovato I'm sure it was amazing  Wish I could have been there :] You're an incredible, phenomenal, amazingly talented singer",love
Oh also today we must remember that it is Hoppusday. So happy Hoppusday  Yes I said it yesterday but it changed okay?,happiness
I want some grape juice.,neutral
mann i had no idea hp a/c adapters were worth like eighty bucks  wine* it's gonna be a while till i can use my lap top,neutral
@DarkPiano I have my iTunes playing and one of ur songs just came on,surprise
oww...just bit my tongue,worry
Arrr. Exam is on next week.. Im dead.. bwahahaha..  I love you btw!!,love
